sku_norm,sku_raw,record_type,product_id,parent_product_id,parent_title,variant_sku,sku_cost,sku_case_pack,sku_case_cost,ahscompany_price,ahscompany_case_price,stock_status,url
SP-2-2BEIGE,SP-2-2 Beige,variant,30235,30235,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SP-2-2 Beige,,,,15.95,,In Stock,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30235.html
SP-2BEIGE,SP-2 Beige,variant,19858,19858,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SP-2 Beige,,,,26.54,,In Stock,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19858.html
SS,SS,product,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-12CHAMPAGNE,SS-12 Champagne,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-12 Champagne,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-17NAVY,SS-17 Navy,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-17 Navy,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-1WHITE,SS-1 White,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-1 White,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-2,SS-2,product,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-12CHAMPAGNE,SS-2-12 Champagne,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-12 Champagne,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-17NAVY,SS-2-17 Navy,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-17 Navy,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-1WHITE,SS-2-1 White,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-1 White,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-2BEIGE,SS-2-2 Beige,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-2 Beige,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-7BLUE,SS-2-7 Blue,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-7 Blue,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-8GREEN,SS-2-8 Green,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-8 Green,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-9PINK,SS-2-9 Pink,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-9 Pink,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2BEIGE,SS-2 Beige,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-2 Beige,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-7BLUE,SS-7 Blue,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-7 Blue,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-8GREEN,SS-8 Green,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-8 Green,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-9PINK,SS-9 Pink,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-9 Pink,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
ST,ST,product,19924,19924,Kartri 7 Gauge See-Thru Vinyl Shower Curtain With Metal Grommets 72x72 Clear 12 Per Case Price Per Each,ST,,,,10.22,,In Stock,https://www.ahscompany.com/Kartri-7-Gauge-See-Thru-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-Clear-12-Per-Case-Price-Per-Each_p_19924.html
ST-2,ST-2,product,29882,29882,Kartri 7 Gauge See-Thru Vinyl Shower Curtain With Metal Grommets 36x72 Clear 24 Per Case Price Per Each,ST-2,,,,6.16,,In Stock,https://www.ahscompany.com/Kartri-7-Gauge-See-Thru-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-Clear-24-Per-Case-Price-Per-Each_p_29882.html
SW,SW,product,19922,19922,Kartri 8 Gauge Swirl Vinyl Shower Curtain With Metal Grommets 72x72 White 12 Per Case Price Per Each,SW,,,,9.43,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-Swirl-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-White-12-Per-Case-Price-Per-Each_p_19922.html
SW-2,SW-2,product,29881,29881,Kartri 8 Gauge Swirl Vinyl Shower Curtain With Metal Grommets 36x72 White 24 Per Case Price Per Each,SW-2,,,,5.66,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-Swirl-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-White-24-Per-Case-Price-Per-Each_p_29881.html
