option_sku,option_sku_compact,base_sku_norm,base_sku_raw,sheet_name,header_row,data_row,price_column_index,size_hint,case_pack,price_each,sku_case_cost,name_color_source,color_label,color_code,color_key,derivation_rule
NYCH7272-C002-S72X72-PK12,NYCH7272C002S72X72PK12,NYCH7272,NYCH7272,Stocked,9,17,4,"72"" x 72""",12,11.3,135.60000000000002,Nylon Beige-2,Beige,2,C002,base_sku + color + size + case_pack
NYVNA-C001-S72X72-PK12,NYVNAC001S72X72PK12,NYVNA,NYVNA,Stocked,9,18,4,"72"" x 72""",12,11.3,135.60000000000002,Nylon White-1,White,1,C001,base_sku + color + size + case_pack
NYVNAMW-C001-S72X72-PK12,NYVNAMWC001S72X72PK12,NYVNAMW,NYVNA MW,Stocked,9,19,4,"72"" x 72""",12,12.4,148.8,Nylon White-1 with magnetic weights,White,1,C001,base_sku + color + size + case_pack
NY-C001-S72X72-PK12,NYC001S72X72PK12,NY,NY,Stocked,9,20,4,"72"" x 72""",12,17.6,211.20000000000002,"Nylon White-1, Green-8",White,1,C001,base_sku + color + size + case_pack
NY-C008-S72X72-PK12,NYC008S72X72PK12,NY,NY,Stocked,9,20,4,"72"" x 72""",12,17.6,211.20000000000002,"Nylon White-1, Green-8",Green,8,C008,base_sku + color + size + case_pack
NY-C001-S48X72-PK18,NYC001S48X72PK18,NY,NY,Stocked,9,20,5,"48"" x 72""",18,17.05,306.90000000000003,"Nylon White-1, Green-8",White,1,C001,base_sku + color + size + case_pack
NY-C008-S48X72-PK18,NYC008S48X72PK18,NY,NY,Stocked,9,20,5,"48"" x 72""",18,17.05,306.90000000000003,"Nylon White-1, Green-8",Green,8,C008,base_sku + color + size + case_pack
NY-C001-S42X72-PK18,NYC001S42X72PK18,NY,NY,Stocked,9,20,6,"42"" x 72""",18,15.5,279,"Nylon White-1, Green-8",White,1,C001,base_sku + color + size + case_pack
NY-C008-S42X72-PK18,NYC008S42X72PK18,NY,NY,Stocked,9,20,6,"42"" x 72""",18,15.5,279,"Nylon White-1, Green-8",Green,8,C008,base_sku + color + size + case_pack
NY-C001-S36X72-PK24,NYC001S36X72PK24,NY,NY,Stocked,9,20,7,"36"" x 72""",24,10.25,246,"Nylon White-1, Green-8",White,1,C001,base_sku + color + size + case_pack
NY-C008-S36X72-PK24,NYC008S36X72PK24,NY,NY,Stocked,9,20,7,"36"" x 72""",24,10.25,246,"Nylon White-1, Green-8",Green,8,C008,base_sku + color + size + case_pack
SN-C002-S72X72-PK12,SNC002S72X72PK12,SN,SN,Stocked,9,21,4,"72"" x 72""",12,16.8,201.60000000000002,Satein Beige-2,Beige,2,C002,base_sku + color + size + case_pack
SN-C002-S48X72-PK18,SNC002S48X72PK18,SN,SN,Stocked,9,21,5,"48"" x 72""",18,16.3,293.40000000000003,Satein Beige-2,Beige,2,C002,base_sku + color + size + case_pack
SN-C002-S42X72-PK18,SNC002S42X72PK18,SN,SN,Stocked,9,21,6,"42"" x 72""",18,14.8,266.40000000000003,Satein Beige-2,Beige,2,C002,base_sku + color + size + case_pack
SN-C002-S36X72-PK24,SNC002S36X72PK24,SN,SN,Stocked,9,21,7,"36"" x 72""",24,10.55,253.20000000000002,Satein Beige-2,Beige,2,C002,base_sku + color + size + case_pack
SNW-C001-S72X72-PK12,SNWC001S72X72PK12,SNW,SNW,Stocked,9,22,4,"72"" x 72""",12,17.1,205.20000000000002,"Satein Woven White-1, Beige-2",White,1,C001,base_sku + color + size + case_pack
SNW-C002-S72X72-PK12,SNWC002S72X72PK12,SNW,SNW,Stocked,9,22,4,"72"" x 72""",12,17.1,205.20000000000002,"Satein Woven White-1, Beige-2",Beige,2,C002,base_sku + color + size + case_pack
SNW-C001-S48X72-PK18,SNWC001S48X72PK18,SNW,SNW,Stocked,9,22,5,"48"" x 72""",18,16.6,298.8,"Satein Woven White-1, Beige-2",White,1,C001,base_sku + color + size + case_pack
SNW-C002-S48X72-PK18,SNWC002S48X72PK18,SNW,SNW,Stocked,9,22,5,"48"" x 72""",18,16.6,298.8,"Satein Woven White-1, Beige-2",Beige,2,C002,base_sku + color + size + case_pack
SNW-C001-S42X72-PK18,SNWC001S42X72PK18,SNW,SNW,Stocked,9,22,6,"42"" x 72""",18,15.05,270.90000000000003,"Satein Woven White-1, Beige-2",White,1,C001,base_sku + color + size + case_pack
SNW-C002-S42X72-PK18,SNWC002S42X72PK18,SNW,SNW,Stocked,9,22,6,"42"" x 72""",18,15.05,270.90000000000003,"Satein Woven White-1, Beige-2",Beige,2,C002,base_sku + color + size + case_pack
SNW-C001-S36X72-PK24,SNWC001S36X72PK24,SNW,SNW,Stocked,9,22,7,"36"" x 72""",24,10.25,246,"Satein Woven White-1, Beige-2",White,1,C001,base_sku + color + size + case_pack
SNW-C002-S36X72-PK24,SNWC002S36X72PK24,SNW,SNW,Stocked,9,22,7,"36"" x 72""",24,10.25,246,"Satein Woven White-1, Beige-2",Beige,2,C002,base_sku + color + size + case_pack
SBOXA-C001-S72X72-PK12,SBOXAC001S72X72PK12,SBOXA,SBOXA,Stocked,9,23,4,"72"" x 72""",12,13.9,166.8,Satin Box White-1,White,1,C001,base_sku + color + size + case_pack
SBOX72-C001-S72X72-PK12,SBOX72C001S72X72PK12,SBOX72,SBOX72,Stocked,9,24,4,"72"" x 72""",12,17.35,208.20000000000002,Satin Box White-1,White,1,C001,base_sku + color + size + case_pack
SBOX72-C001-S48X72-PK18,SBOX72C001S48X72PK18,SBOX72,SBOX72,Stocked,9,24,5,"48"" x 72""",18,16.8,302.40000000000003,Satin Box White-1,White,1,C001,base_sku + color + size + case_pack
SBOX72-C001-S42X72-PK18,SBOX72C001S42X72PK18,SBOX72,SBOX72,Stocked,9,24,6,"42"" x 72""",18,15.25,274.5,Satin Box White-1,White,1,C001,base_sku + color + size + case_pack
SBOX72-C001-S36X72-PK24,SBOX72C001S36X72PK24,SBOX72,SBOX72,Stocked,9,24,7,"36"" x 72""",24,10.4,249.60000000000002,Satin Box White-1,White,1,C001,base_sku + color + size + case_pack
VCA-C001-S72X72-PK12,VCAC001S72X72PK12,VCA,VCA,Stocked,9,25,4,"72"" x 72""",12,14,168,"Vision Check White-1, Beige-2",White,1,C001,base_sku + color + size + case_pack
VCA-C002-S72X72-PK12,VCAC002S72X72PK12,VCA,VCA,Stocked,9,25,4,"72"" x 72""",12,14,168,"Vision Check White-1, Beige-2",Beige,2,C002,base_sku + color + size + case_pack
GRTHPSA-C011-S72X72-PK12,GRTHPSAC011S72X72PK12,GRT-HPSA,GRT-HPSA,Stocked,9,26,4,"72"" x 72""",12,19.2,230.39999999999998,(Green) Handpainted Stripe Grey-11,Grey,11,C011,base_sku + color + size + case_pack
GRTWCFA-C007-S72X72-PK12,GRTWCFAC007S72X72PK12,GRT-WCFA,GRT-WCFA,Stocked,9,27,4,"72"" x 72""",12,19.2,230.39999999999998,(Green) Watercolor Fish Blue-7,Blue,7,C007,base_sku + color + size + case_pack
GRTHA-C007-S72X72-PK12,GRTHAC007S72X72PK12,GRT-HA,GRT-HA,Stocked,9,28,4,"72"" x 72""",12,19.2,230.39999999999998,(Green) Hayes Blue-7,Blue,7,C007,base_sku + color + size + case_pack
DK-C001-S72X72-PK12,DKC001S72X72PK12,DK,DK,Stocked,9,30,4,"72"" x 72""",12,25.25,303,"Duck Twill White-1, Beige-2 (100% Cotton)",White,1,C001,base_sku + color + size + case_pack
DK-C002-S72X72-PK12,DKC002S72X72PK12,DK,DK,Stocked,9,30,4,"72"" x 72""",12,25.25,303,"Duck Twill White-1, Beige-2 (100% Cotton)",Beige,2,C002,base_sku + color + size + case_pack
DK-C001-S48X72-PK18,DKC001S48X72PK18,DK,DK,Stocked,9,30,5,"48"" x 72""",18,24.5,441,"Duck Twill White-1, Beige-2 (100% Cotton)",White,1,C001,base_sku + color + size + case_pack
DK-C002-S48X72-PK18,DKC002S48X72PK18,DK,DK,Stocked,9,30,5,"48"" x 72""",18,24.5,441,"Duck Twill White-1, Beige-2 (100% Cotton)",Beige,2,C002,base_sku + color + size + case_pack
DK-C001-S42X72-PK18,DKC001S42X72PK18,DK,DK,Stocked,9,30,6,"42"" x 72""",18,22.2,399.59999999999997,"Duck Twill White-1, Beige-2 (100% Cotton)",White,1,C001,base_sku + color + size + case_pack
DK-C002-S42X72-PK18,DKC002S42X72PK18,DK,DK,Stocked,9,30,6,"42"" x 72""",18,22.2,399.59999999999997,"Duck Twill White-1, Beige-2 (100% Cotton)",Beige,2,C002,base_sku + color + size + case_pack
DK-C001-S36X72-PK24,DKC001S36X72PK24,DK,DK,Stocked,9,30,7,"36"" x 72""",24,15.15,363.6,"Duck Twill White-1, Beige-2 (100% Cotton)",White,1,C001,base_sku + color + size + case_pack
DK-C002-S36X72-PK24,DKC002S36X72PK24,DK,DK,Stocked,9,30,7,"36"" x 72""",24,15.15,363.6,"Duck Twill White-1, Beige-2 (100% Cotton)",Beige,2,C002,base_sku + color + size + case_pack
