sku_norm,sku_raw,bc_type,product_id,variant_id,bc_price,bc_cost_price,name
VT6700-1,VT6700-1,product,110174,,47.88,0,KARTRI| 6 GAUGE VINTAFF| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 12
VT6700-1-36,VT6700-1-36,variant,110174,96241,47.88,0,
WA4030SU-1,WA4030SU-1,variant,110136,59113,191.88,0,
WA4070-1,WA4070-1,variant,110130,59101,455.28,0,
WAFFLE-D,WAFFLE-D,variant,110186,96250,455.88,0,
WAFFLE-K,WAFFLE-K,variant,110186,96252,551.88,0,
WAFFLE-Q,WAFFLE-Q,variant,110186,96251,479.88,0,
WAFFLE-T,WAFFLE-T,product,110186,,407.88,0,KARTRI| DECORATIVE| TOP BED SHEET| W/ SQUARE CORNERS TWIN WHITE URBAN WAFFLE PATTERN PACK OF 12
WAFFLE-T-69,WAFFLE-T-69,variant,110186,96249,407.88,0,
WL2002,WL2002,variant,110145,96206,207.92,0,
WL2002-1,WL2002-1,product,110145,,127.92,0,KARTRI| WILLOW| FLAME RETARDANT POLY/AVORA BLEND SHOWER CURTAIN W/ SEWN EYELETS PACK OF 8
WL2002-1-34,WL2002-1-34,variant,110145,96205,127.92,0,
